State,Year,Day,num_fatalities_heatmap,Time,,
NSW,1990,Friday,5,11,,
NSW,1990,Friday,2,12,,
NSW,1990,Friday,4,13,,
NSW,1990,Friday,4,14,,
NSW,1990,Friday,5,15,,
NSW,1990,Friday,4,16,,
NSW,1990,Friday,4,17,,
NSW,1990,Friday,17,18,,
NSW,1990,Friday,8,19,,
NSW,1990,Friday,4,20,,
NSW,1990,Friday,6,21,,
NSW,1990,Friday,5,22,,
NSW,1990,Friday,8,23,,
NSW,1990,Saturday,8,0,,
NSW,1990,Saturday,12,1,,
NSW,1990,Saturday,5,2,,
NSW,1990,Saturday,10,3,,
NSW,1990,Saturday,8,4,,
NSW,1990,Saturday,2,5,,
NSW,1990,Saturday,3,6,,
NSW,1990,Saturday,7,7,,
NSW,1990,Saturday,1,8,,
NSW,1990,Saturday,4,9,,
NSW,1990,Saturday,6,10,,
NSW,1990,Saturday,7,11,,
NSW,1990,Saturday,2,12,,
NSW,1990,Saturday,7,13,,
NSW,1990,Saturday,2,14,,
NSW,1990,Saturday,7,15,,
NSW,1990,Saturday,9,16,,
NSW,1990,Saturday,4,17,,
NSW,1990,Saturday,5,18,,
NSW,1990,Saturday,6,19,,
NSW,1990,Saturday,4,20,,
NSW,1990,Saturday,4,21,,
NSW,1990,Saturday,7,22,,
NSW,1990,Saturday,4,23,,
NSW,1990,Sunday,5,0,,
NSW,1990,Sunday,15,1,,
NSW,1990,Sunday,5,2,,
NSW,1990,Sunday,3,3,,
NSW,1990,Sunday,10,4,,
NSW,1990,Sunday,3,5,,
NSW,1990,Sunday,3,6,,
NSW,1990,Sunday,3,7,,
NSW,1990,Sunday,3,8,,
NSW,1990,Sunday,6,10,,
NSW,1990,Sunday,8,11,,
NSW,1990,Sunday,2,12,,
NSW,1990,Sunday,3,13,,
NSW,1990,Sunday,7,14,,
NSW,1990,Sunday,18,15,,
NSW,1990,Sunday,4,16,,
NSW,1990,Sunday,8,17,,
NSW,1990,Sunday,11,18,,
NSW,1990,Sunday,9,19,,
NSW,1990,Sunday,10,20,,
NSW,1990,Sunday,4,21,,
NSW,1990,Sunday,6,23,,
NSW,1991,Monday,2,0,,
NSW,1991,Monday,4,1,,
NSW,1991,Monday,1,2,,
NSW,1991,Monday,1,6,,
NSW,1991,Monday,1,7,,
NSW,1991,Monday,1,8,,
NSW,1991,Monday,1,9,,
NSW,1991,Monday,3,10,,
NSW,1991,Monday,2,11,,
NSW,1991,Monday,9,12,,
NSW,1991,Monday,1,13,,
NSW,1991,Monday,2,14,,
NSW,1991,Monday,7,15,,
NSW,1991,Monday,6,16,,
NSW,1991,Monday,5,17,,
NSW,1991,Monday,6,18,,
NSW,1991,Monday,4,19,,
NSW,1991,Monday,2,20,,
NSW,1991,Monday,1,23,,
NSW,1991,Tuesday,1,3,,
NSW,1991,Tuesday,1,4,,
NSW,1991,Tuesday,1,7,,
NSW,1991,Tuesday,2,8,,
NSW,1991,Tuesday,4,9,,
NSW,1991,Tuesday,6,10,,
NSW,1991,Tuesday,4,11,,
NSW,1991,Tuesday,4,12,,
NSW,1991,Tuesday,4,13,,
